doc_id,question,answer,category
doc001,什么是RAG,RAG全称检索增强生成，先从知识库检索相关文本，再交给大模型生成答案。,大模型技术
doc002,LangChain有什么作用,LangChain是大模型应用开发框架，封装了检索、提示词、记忆等组件。,开发框架
doc003,向量数据库原理,把文本转为向量，通过向量相似度搜索匹配相似文档。,向量数据库
doc004,如何优化提示词,明确任务、提供示例、限制输出格式、添加角色设定。,提示词工程
doc005,什么是文本分块,将长文档切分成小块，防止超出模型上下文窗口，提升检索精度。,RAG优化
doc006,余弦相似度含义,用来衡量两个向量之间方向相似度，数值越接近1代表内容越相近。,向量基础
doc007,FAISS和Chroma区别,Chroma开箱即用适合本地测试；FAISS侧重高性能大规模向量检索。,向量数据库
doc008,RAG会产生幻觉吗,优化检索质量、加入重排、限制模型凭空发挥可以减轻幻觉问题。,大模型技术
doc009,Embedding嵌入模型作用,负责把自然语言文本转化为计算机可计算的数值向量。,向量基础
doc010,重排器Rerank作用,对初次检索结果二次排序，过滤无关文档，提升最终答案准确度。,RAG优化
doc011,FastAPI用途,快速搭建后端接口，可以把你的RAG服务封装成web接口调用。,开发框架
doc012,什么是上下文窗口,大模型单次能够接收处理的最大文本总长度，超限会截断内容。,大模型技术
doc013,语义检索和关键词检索区别,关键词只匹配文字；语义检索理解句子含义，同义语句也能命中。,向量数据库
doc014,分块大小设置多少合适,一般200~800字符，根据选用的嵌入模型与场景调整。,RAG优化
doc015,如何部署本地大模型,借助Ollama、llama.cpp等工具，在本地硬件运行开源大模型。,本地LLM














